MIDAS ID, Legacy MIDAS ID, Site Name
D2FF35CBC0FD4867B57FF296BD8EBB4A,30028786,MIDAS site at M32/5045B priority 1 on link 200044286; GPS Ref: 361811;176697; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2022-09-01,00:14:00,11,71,42,14,6,9,103.85,15,200044286,16
2022-09-01,00:29:00,11,74,53,8,4,9,103.25,15,200044286,16
2022-09-01,00:44:00,11,82,58,8,8,8,103.08,15,200044286,16
2022-09-01,00:59:00,11,57,40,6,4,7,101.20,15,200044286,16
2022-09-01,01:14:00,0,50,33,3,3,11,102.44,15,200044286,16
2022-09-01,01:29:00,0,40,25,7,3,5,108.64,15,200044286,16
2022-09-01,01:44:00,0,55,34,10,3,8,98.20,15,200044286,16
2022-09-01,01:59:00,0,60,37,13,5,5,100.10,15,200044286,16
2022-09-01,02:14:00,0,42,32,6,1,3,102.51,15,200044286,16
2022-09-01,02:29:00,0,48,31,8,2,7,99.66,15,200044286,16
2022-09-01,02:44:00,0,45,25,7,4,9,104.46,15,200044286,16
2022-09-01,02:59:00,0,49,32,6,2,9,102.54,15,200044286,16
2022-09-01,03:14:00,0,45,31,3,7,4,97.73,15,200044286,16
2022-09-01,03:29:00,0,44,27,5,8,4,100.00,15,200044286,16
2022-09-01,03:44:00,0,51,33,8,4,6,101.80,15,200044286,16
2022-09-01,03:59:00,0,53,37,8,4,4,103.82,15,200044286,16
2022-09-01,04:14:00,0,44,26,7,5,6,101.73,15,200044286,16
2022-09-01,04:29:00,0,52,38,4,4,6,96.88,15,200044286,16
2022-09-01,04:44:00,0,65,44,6,9,6,99.89,15,200044286,16
2022-09-01,04:59:00,0,58,34,6,7,11,93.53,15,200044286,16
2022-09-01,05:14:00,0,69,47,13,4,5,101.78,15,200044286,16
2022-09-01,05:29:00,0,103,70,10,12,11,99.64,15,200044286,16
2022-09-01,05:44:00,0,132,93,20,8,11,102.25,15,200044286,16
2022-09-01,05:59:00,0,181,117,24,14,26,101.28,15,200044286,16
2022-09-01,06:14:00,0,213,133,44,16,20,103.72,15,200044286,16
2022-09-01,06:29:00,0,296,215,47,16,18,104.98,15,200044286,16
2022-09-01,06:44:00,0,450,303,89,32,26,102.33,15,200044286,16
2022-09-01,06:59:00,0,593,408,119,47,19,103.35,15,200044286,16
2022-09-01,07:14:00,0,691,479,155,45,12,99.16,15,200044286,16
