MIDAS ID, Legacy MIDAS ID, Site Name
452ACB1C0210454F9D0780DA73C6E79E,30028793,MIDAS site at M32/5060B priority 1 on link 200044286; GPS Ref: 362986;177624; Southbound

Local Date, Local Time, Day Type ID, Total Carriageway Flow, Total Flow vehicles less than 5.2m, Total Flow vehicles 5.21m - 6.6m, Total Flow vehicles 6.61m - 11.6m, Total Flow vehicles above 11.6m, Speed Value, Quality Index, Network Link Id, NTIS Model Version
2021-10-01,00:14:59,3,,,,,,,0,200044286,14
2021-10-01,00:29:59,3,,,,,,,0,200044286,14
2021-10-01,00:44:59,3,,,,,,,0,200044286,14
2021-10-01,00:59:00,3,35,20,10,0,5,107.98,3,200044286,14
2021-10-01,01:14:00,4,42,26,9,4,3,100.93,15,200044286,14
2021-10-01,01:29:00,4,36,25,3,3,5,96.79,15,200044286,14
2021-10-01,01:44:00,4,48,33,6,3,6,99.92,15,200044286,14
2021-10-01,01:59:00,4,41,28,4,4,5,96.01,15,200044286,14
2021-10-01,02:14:00,4,50,27,9,6,8,95.29,15,200044286,14
2021-10-01,02:29:00,4,44,26,8,5,5,96.81,15,200044286,14
2021-10-01,02:44:00,4,43,31,2,5,5,98.23,15,200044286,14
2021-10-01,02:59:00,4,40,15,13,4,8,95.74,15,200044286,14
2021-10-01,03:14:00,4,45,26,11,2,6,97.71,15,200044286,14
2021-10-01,03:29:00,4,54,37,8,2,7,100.35,15,200044286,14
2021-10-01,03:44:00,4,47,33,6,6,2,100.22,15,200044286,14
2021-10-01,03:59:00,4,39,29,6,2,2,104.58,15,200044286,14
2021-10-01,04:14:00,4,46,27,8,6,5,101.06,15,200044286,14
2021-10-01,04:29:00,4,53,34,8,6,5,99.42,15,200044286,14
2021-10-01,04:44:00,4,57,33,6,7,11,95.50,15,200044286,14
2021-10-01,04:59:00,4,78,41,11,17,9,95.03,15,200044286,14
2021-10-01,05:14:00,4,92,53,15,8,16,97.53,15,200044286,14
2021-10-01,05:29:00,4,107,76,13,9,9,98.64,15,200044286,14
2021-10-01,05:44:00,4,126,78,15,10,23,95.50,15,200044286,14
2021-10-01,05:59:00,4,160,110,21,11,18,98.74,15,200044286,14
2021-10-01,06:14:00,4,178,119,31,12,16,99.85,15,200044286,14
2021-10-01,06:29:00,4,268,195,46,18,9,100.24,15,200044286,14
2021-10-01,06:44:00,4,369,256,69,25,19,97.56,15,200044286,14
2021-10-01,06:59:00,4,519,341,116,41,21,97.35,15,200044286,14
2021-10-01,07:14:00,4,666,453,144,46,23,93.19,15,200044286,14
2021-10-01,07:29:00,4,810,560,164,57,29,87.46,15,200044286,14
2021-10-01,07:44:00,4,828,614,130,60,24,88.09,15,200044286,14
2021-10-01,07:59:00,4,888,627,192,46,23,86.91,15,200044286,14
2021-10-01,08:14:00,4,809,571,160,58,20,92.78,15,200044286,14
2021-10-01,08:29:00,4,707,489,142,59,17,93.71,15,200044286,14
2021-10-01,08:44:00,4,641,439,122,60,20,96.61,15,200044286,14
2021-10-01,08:59:00,4,588,388,137,44,19,97.18,14,200044286,14
2021-10-01,09:14:00,4,595,407,120,51,17,96.39,15,200044286,14
2021-10-01,09:29:00,4,540,373,104,47,16,94.78,15,200044286,14
2021-10-01,09:44:00,4,630,421,125,64,20,94.02,15,200044286,14
2021-10-01,09:59:00,4,565,398,99,47,21,94.92,15,200044286,14
2021-10-01,10:14:00,4,496,339,89,55,13,97.60,15,200044286,14
2021-10-01,10:29:00,4,519,354,86,58,21,94.67,14,200044286,14
2021-10-01,10:44:00,4,535,383,90,38,24,95.75,15,200044286,14
2021-10-01,10:59:00,4,574,398,110,48,18,95.15,15,200044286,14
2021-10-01,11:14:00,4,548,377,107,49,15,96.79,15,200044286,14
2021-10-01,11:29:00,4,552,385,99,53,15,97.30,15,200044286,14
2021-10-01,11:44:00,4,645,457,112,57,19,95.15,15,200044286,14
2021-10-01,11:59:00,4,549,378,108,49,14,98.53,15,200044286,14
2021-10-01,12:14:00,4,602,399,118,65,20,97.60,15,200044286,14
2021-10-01,12:29:00,4,577,385,121,55,16,98.42,15,200044286,14
2021-10-01,12:44:00,4,610,433,84,73,20,96.64,15,200044286,14
2021-10-01,12:59:00,4,667,501,104,35,27,96.52,15,200044286,14
2021-10-01,13:14:00,4,629,448,109,53,19,97.41,15,200044286,14
2021-10-01,13:29:00,4,692,496,120,61,15,94.46,15,200044286,14
2021-10-01,13:44:00,4,717,505,128,59,25,96.90,15,200044286,14
2021-10-01,13:59:00,4,653,468,116,52,17,97.10,15,200044286,14
2021-10-01,14:14:00,4,670,471,132,51,16,96.26,15,200044286,14
2021-10-01,14:29:00,4,675,514,100,46,15,95.38,15,200044286,14
2021-10-01,14:44:00,4,730,546,124,42,18,93.67,15,200044286,14
2021-10-01,14:59:00,4,730,535,119,61,15,92.50,15,200044286,14
2021-10-01,15:14:00,4,651,466,105,62,18,94.40,15,200044286,14
2021-10-01,15:29:00,4,750,548,130,56,16,95.60,15,200044286,14
2021-10-01,15:44:00,4,723,549,124,44,6,97.14,15,200044286,14
2021-10-01,15:59:00,4,806,601,143,53,9,92.44,15,200044286,14
2021-10-01,16:14:00,4,826,625,143,37,21,97.01,15,200044286,14
2021-10-01,16:29:00,4,794,634,120,32,8,98.20,15,200044286,14
2021-10-01,16:44:00,4,774,605,130,27,12,96.95,15,200044286,14
2021-10-01,16:59:00,4,780,636,101,29,14,98.27,15,200044286,14
2021-10-01,17:14:00,4,760,624,100,27,9,97.31,15,200044286,14
2021-10-01,17:29:00,4,857,719,114,12,12,82.84,15,200044286,14
2021-10-01,17:44:00,4,778,642,105,21,10,70.51,15,200044286,14
2021-10-01,17:59:00,4,820,682,108,17,13,94.97,15,200044286,14
2021-10-01,18:14:00,4,798,683,95,17,3,96.47,15,200044286,14
2021-10-01,18:29:00,4,739,630,85,17,8,96.22,14,200044286,14
2021-10-01,18:44:00,4,671,565,78,21,7,99.01,15,200044286,14
2021-10-01,18:59:00,4,686,572,87,17,10,98.12,15,200044286,14
2021-10-01,19:14:00,4,609,527,57,17,8,97.24,15,200044286,14
2021-10-01,19:29:00,4,555,478,58,9,10,98.31,15,200044286,14
2021-10-01,19:44:00,4,489,392,77,9,11,97.99,15,200044286,14
2021-10-01,19:59:00,4,452,366,61,15,10,98.88,15,200044286,14
2021-10-01,20:14:00,4,406,327,55,13,11,100.63,15,200044286,14
2021-10-01,20:29:00,4,409,336,58,6,9,102.90,15,200044286,14
2021-10-01,20:44:00,4,306,261,32,7,6,102.26,15,200044286,14
2021-10-01,20:59:00,4,312,253,37,15,7,103.78,15,200044286,14
2021-10-01,21:14:00,4,284,235,39,4,6,104.00,15,200044286,14
2021-10-01,21:29:00,4,244,195,31,12,6,103.65,15,200044286,14
2021-10-01,21:44:00,4,257,216,31,4,6,96.08,15,200044286,14
2021-10-01,21:59:00,4,237,197,21,7,12,97.41,15,200044286,14
2021-10-01,22:14:00,4,235,201,17,11,6,99.46,15,200044286,14
2021-10-01,22:29:00,4,234,193,29,8,4,100.52,15,200044286,14
2021-10-01,22:44:00,4,167,133,26,4,4,100.00,15,200044286,14
2021-10-01,22:59:00,4,167,140,18,6,3,102.07,15,200044286,14
2021-10-01,23:14:00,4,123,102,16,3,2,102.75,15,200044286,14
2021-10-01,23:29:00,4,164,132,23,4,5,102.39,15,200044286,14
2021-10-01,23:44:00,4,155,127,20,5,3,100.61,15,200044286,14
2021-10-01,23:59:00,4,132,102,16,9,5,100.61,15,200044286,14
2021-10-02,00:14:00,4,98,69,17,3,9,101.51,15,200044286,14
2021-10-02,00:29:00,4,130,98,18,7,7,101.01,15,200044286,14
2021-10-02,00:44:00,4,117,82,19,7,9,100.52,15,200044286,14
2021-10-02,00:59:00,4,84,61,7,6,10,100.03,15,200044286,14
2021-10-02,01:14:00,5,73,47,15,3,8,99.78,15,200044286,14
2021-10-02,01:29:00,5,77,48,19,4,6,100.48,15,200044286,14
2021-10-02,01:44:00,5,78,54,9,7,8,100.54,15,200044286,14
2021-10-02,01:59:00,5,87,55,19,6,7,97.71,15,200044286,14
2021-10-02,02:14:00,5,61,43,9,4,5,96.46,15,200044286,14
2021-10-02,02:29:00,5,61,47,9,1,4,102.10,15,200044286,14
2021-10-02,02:44:00,5,64,43,9,4,8,98.42,15,200044286,14
2021-10-02,02:59:00,5,62,33,15,8,6,97.65,15,200044286,14
2021-10-02,03:14:00,5,54,37,10,0,7,100.86,15,200044286,14
2021-10-02,03:29:00,5,49,37,10,2,0,103.16,15,200044286,14
2021-10-02,03:44:00,5,63,43,15,3,2,102.80,15,200044286,14
2021-10-02,03:59:00,5,54,36,12,4,2,103.28,15,200044286,14
2021-10-02,04:14:00,5,66,46,14,5,1,99.66,15,200044286,14
2021-10-02,04:29:00,5,66,36,16,8,6,99.37,15,200044286,14
